analysis_set,station_id,balanced_per_condition,metric,metric_label,effect_scale,ce_value,comparison_value,effect
unrestricted,ST06,14,min_per_action,Median minutes per completed substantive action,median_ratio,0.9386714814814815,1.3337520833333334,0.70378257939477
unrestricted,ST07,7,verification_successful,Completed-successful verification call,risk_difference,0.7142857142857143,0.14285714285714285,0.5714285714285714
unrestricted,ST07,7,audit_signal,Audit-stage prompt signal,risk_difference,0.0,0.0,0.0
unrestricted,ST07,7,remediation_signal,Remediation-stage prompt signal,risk_difference,0.14285714285714285,0.0,0.14285714285714285
unrestricted,ST07,7,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.0,0.0,0.0
unrestricted,ST07,7,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.14285714285714285,0.0,0.14285714285714285
unrestricted,ST07,7,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.7142857142857143,0.0,0.7142857142857143
unrestricted,ST07,7,duration_min,Median observed trajectory minutes,median_ratio,11.397549999999999,3.7834,3.0125151979700795
unrestricted,ST07,7,completed_substantive_actions,Median completed substantive actions,median_ratio,7.0,2.0,3.5
unrestricted,ST07,7,min_per_action,Median minutes per completed substantive action,median_ratio,2.293721296296296,1.44445,1.5879547899174744
unrestricted,ST08,80,verification_successful,Completed-successful verification call,risk_difference,0.675,0.4875,0.18750000000000006
unrestricted,ST08,80,audit_signal,Audit-stage prompt signal,risk_difference,0.2625,0.05,0.21250000000000002
unrestricted,ST08,80,remediation_signal,Remediation-stage prompt signal,risk_difference,0.2125,0.1,0.11249999999999999
unrestricted,ST08,80,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.1125,0.0375,0.07500000000000001
unrestricted,ST08,80,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.4,0.075,0.325
unrestricted,ST08,80,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.3875,0.0375,0.35000000000000003
unrestricted,ST08,80,duration_min,Median observed trajectory minutes,median_ratio,6.3788583333333335,4.671141666666666,1.365588712252715
unrestricted,ST08,80,completed_substantive_actions,Median completed substantive actions,median_ratio,9.0,6.0,1.5
unrestricted,ST08,80,min_per_action,Median minutes per completed substantive action,median_ratio,0.6339624137931035,0.607325,1.0438602293551287
unrestricted,ST09,5,verification_successful,Completed-successful verification call,risk_difference,0.0,0.0,0.0
unrestricted,ST09,5,audit_signal,Audit-stage prompt signal,risk_difference,0.4,0.0,0.4
unrestricted,ST09,5,remediation_signal,Remediation-stage prompt signal,risk_difference,0.6,0.2,0.39999999999999997
unrestricted,ST09,5,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.2,0.0,0.2
unrestricted,ST09,5,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.4,0.0,0.4
unrestricted,ST09,5,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.4,0.0,0.4
unrestricted,ST09,5,duration_min,Median observed trajectory minutes,median_ratio,7.00005,3.8533,1.8166376871772247
unrestricted,ST09,5,completed_substantive_actions,Median completed substantive actions,median_ratio,7.0,4.0,1.75
unrestricted,ST09,5,min_per_action,Median minutes per completed substantive action,median_ratio,1.777925,0.6562666666666667,2.709150243803332
