window,candidate_positive,eligible_rows,candidate_positive_rate,unresolved
5,2119,3326,0.6371016235718581,1207
10,2453,3326,0.7375225496091401,873
20,2726,3326,0.8196031268791341,600
50,2919,3326,0.8776307877330126,407
106,2976,3326,0.8947684906794949,350
